,DurationSec,HeaderFname,StartSec,StartStr,StopSec
0,3600.0,109600102_0000.head,298641241.0,2009-06-18 11:54:01.000,298644841.0
1,3600.0,109600102_0001.head,298644842.0,2009-06-18 12:54:02.000,298648442.0
2,3600.0,109600102_0002.head,298648443.0,2009-06-18 13:54:03.000,298652043.0
3,3600.0,109600102_0003.head,298652045.0,2009-06-18 14:54:05.000,298655645.0
4,3600.0,109600102_0004.head,298655646.0,2009-06-18 15:54:06.000,298659246.0
5,3600.0,109600102_0005.head,298659247.0,2009-06-18 16:54:07.000,298662847.0
6,3600.0,109600102_0006.head,298662849.0,2009-06-18 17:54:09.000,298666449.0
7,3600.0,109600102_0007.head,298666450.0,2009-06-18 18:54:10.000,298670050.0
8,3600.0,109600102_0008.head,298670051.0,2009-06-18 19:54:11.000,298673651.0
9,3600.0,109600102_0009.head,298673652.0,2009-06-18 20:54:12.000,298677252.0
10,3600.0,109600102_0010.head,298677254.0,2009-06-18 21:54:14.000,298680854.0
11,3600.0,109600102_0011.head,298680855.0,2009-06-18 22:54:15.000,298684455.0
12,3600.0,109600102_0012.head,298684456.0,2009-06-18 23:54:16.000,298688056.0
13,3600.0,109600102_0013.head,298688058.0,2009-06-19 00:54:18.000,298691658.0
14,3600.0,109600102_0014.head,298691659.0,2009-06-19 01:54:19.000,298695259.0
15,3600.0,109600102_0015.head,298695260.0,2009-06-19 02:54:20.000,298698860.0
16,3600.0,109600102_0016.head,298698862.0,2009-06-19 03:54:22.000,298702462.0
17,3600.0,109600102_0017.head,298702463.0,2009-06-19 04:54:23.000,298706063.0
18,2951.0,109600102_0018.head,298706064.0,2009-06-19 05:54:24.000,298709015.0
19,3600.0,109600102_0019.head,298709236.0,2009-06-19 06:47:16.000,298712836.0
20,3600.0,109600102_0020.head,298712837.0,2009-06-19 07:47:17.000,298716437.0
21,3600.0,109600102_0021.head,298716438.0,2009-06-19 08:47:18.000,298720038.0
22,3600.0,109600102_0022.head,298720040.0,2009-06-19 09:47:20.000,298723640.0
23,3600.0,109600102_0023.head,298723641.0,2009-06-19 10:47:21.000,298727241.0
24,3600.0,109600102_0024.head,298727242.0,2009-06-19 11:47:22.000,298730842.0
25,3600.0,109600102_0025.head,298730843.0,2009-06-19 12:47:23.000,298734443.0
26,3600.0,109600102_0026.head,298734444.0,2009-06-19 13:47:24.000,298738044.0
27,3600.0,109600102_0027.head,298738046.0,2009-06-19 14:47:26.000,298741646.0
28,3600.0,109600102_0028.head,298741647.0,2009-06-19 15:47:27.000,298745247.0
29,3600.0,109600102_0029.head,298745248.0,2009-06-19 16:47:28.000,298748848.0
30,3600.0,109600102_0030.head,298748849.0,2009-06-19 17:47:29.000,298752449.0
31,3600.0,109600102_0031.head,298752452.0,2009-06-19 18:47:32.000,298756052.0
32,3600.0,109600102_0032.head,298756053.0,2009-06-19 19:47:33.000,298759653.0
33,3600.0,109600102_0033.head,298759654.0,2009-06-19 20:47:34.000,298763254.0
